kode_kota,kota,kode_kecamatan,kecamatan,id_choropleth,lat,long,tanggal,count_baik,count_rusak_sedang,count_rusak_parah,total_record,prop_baik,prop_rusak_sedang,prop_rusak_parah,maj_baik,maj_rusak_sedang,maj_rusak_parah,label_majority
3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010,-6.58694,106.76694,2019-01-01,4,6,1,11,0.36363636363636365,0.5454545454545454,0.09090909090909091,0,1,0,RUSAK SEDANG
3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010,-6.58694,106.76694,2020-01-01,4,6,1,11,0.36363636363636365,0.5454545454545454,0.09090909090909091,0,1,0,RUSAK SEDANG
3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010,-6.58694,106.76694,2021-01-01,3,7,1,11,0.2727272727272727,0.6363636363636364,0.09090909090909091,0,1,0,RUSAK SEDANG
3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020,-6.58694,106.76694,2019-01-01,10,1,0,11,0.9090909090909091,0.09090909090909091,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020,-6.58694,106.76694,2020-01-01,7,4,0,11,0.6363636363636364,0.36363636363636365,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020,-6.58694,106.76694,2021-01-01,8,3,0,11,0.7272727272727273,0.2727272727272727,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021,-6.58694,106.76694,2019-01-01,6,1,1,8,0.75,0.125,0.125,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021,-6.58694,106.76694,2020-01-01,7,1,0,8,0.875,0.125,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021,-6.58694,106.76694,2021-01-01,7,1,0,8,0.875,0.125,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030,-6.58694,106.76694,2019-01-01,12,3,0,15,0.8,0.2,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030,-6.58694,106.76694,2020-01-01,14,1,0,15,0.9333333333333333,0.06666666666666667,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201030,-6.58694,106.76694,2021-01-01,13,2,0,15,0.8666666666666667,0.13333333333333333,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040,-6.58694,106.76694,2019-01-01,13,2,0,15,0.8666666666666667,0.13333333333333333,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040,-6.58694,106.76694,2020-01-01,13,2,0,15,0.8666666666666667,0.13333333333333333,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201040,-6.58694,106.76694,2021-01-01,12,3,0,15,0.8,0.2,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201050,CIAMPEA,3201050,-6.5549086,106.6972339,2019-01-01,9,4,0,13,0.6923076923076923,0.3076923076923077,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201050,CIAMPEA,3201050,-6.5549086,106.6972339,2020-01-01,8,5,0,13,0.6153846153846154,0.38461538461538464,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201050,CIAMPEA,3201050,-6.5549086,106.6972339,2021-01-01,8,5,0,13,0.6153846153846154,0.38461538461538464,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201051,TENJOLAYA,3201051,-6.58694,106.76694,2019-01-01,5,2,0,7,0.7142857142857143,0.2857142857142857,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201051,TENJOLAYA,3201051,-6.58694,106.76694,2020-01-01,5,2,0,7,0.7142857142857143,0.2857142857142857,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201051,TENJOLAYA,3201051,-6.58694,106.76694,2021-01-01,4,3,0,7,0.5714285714285714,0.42857142857142855,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201060,DRAMAGA,3201060,-6.5755346,106.7381158,2019-01-01,5,5,0,10,0.5,0.5,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201060,DRAMAGA,3201060,-6.5755346,106.7381158,2020-01-01,6,3,1,10,0.6,0.3,0.1,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201060,DRAMAGA,3201060,-6.5755346,106.7381158,2021-01-01,6,3,1,10,0.6,0.3,0.1,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201070,CIOMAS,3201070,-6.6025758,106.7653144,2019-01-01,9,1,0,10,0.9,0.1,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201070,CIOMAS,3201070,-6.6025758,106.7653144,2020-01-01,8,2,0,10,0.8,0.2,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201070,CIOMAS,3201070,-6.6025758,106.7653144,2021-01-01,8,2,0,10,0.8,0.2,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201071,TAMANSARI,3201071,-6.6450597,106.7656102,2019-01-01,7,1,0,8,0.875,0.125,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201071,TAMANSARI,3201071,-6.6450597,106.7656102,2020-01-01,7,1,0,8,0.875,0.125,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201071,TAMANSARI,3201071,-6.6450597,106.7656102,2021-01-01,6,1,1,8,0.75,0.125,0.125,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201080,CIJERUK,3201080,-6.6979198,106.7965122,2019-01-01,9,0,0,9,1.0,0.0,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201080,CIJERUK,3201080,-6.6979198,106.7965122,2020-01-01,9,0,0,9,1.0,0.0,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201080,CIJERUK,3201080,-6.6979198,106.7965122,2021-01-01,8,1,0,9,0.8888888888888888,0.1111111111111111,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201081,CIGOMBONG,3201081,-6.7433424,106.8030953,2019-01-01,7,2,0,9,0.7777777777777778,0.2222222222222222,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201081,CIGOMBONG,3201081,-6.7433424,106.8030953,2020-01-01,6,3,0,9,0.6666666666666666,0.3333333333333333,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201081,CIGOMBONG,3201081,-6.7433424,106.8030953,2021-01-01,6,3,0,9,0.6666666666666666,0.3333333333333333,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201090,CARINGIN,3201090,-6.7037604,106.8248813,2019-01-01,9,3,0,12,0.75,0.25,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201090,CARINGIN,3201090,-6.7037604,106.8248813,2020-01-01,9,3,0,12,0.75,0.25,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201090,CARINGIN,3201090,-6.7037604,106.8248813,2021-01-01,9,3,0,12,0.75,0.25,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201100,CIAWI,3201100,-6.6621296,106.8531382,2019-01-01,10,2,1,13,0.7692307692307693,0.15384615384615385,0.07692307692307693,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201100,CIAWI,3201100,-6.6621296,106.8531382,2020-01-01,11,2,0,13,0.8461538461538461,0.15384615384615385,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201100,CIAWI,3201100,-6.6621296,106.8531382,2021-01-01,11,2,0,13,0.8461538461538461,0.15384615384615385,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201110,CISARUA,3201110,-6.6700483,106.9268638,2019-01-01,8,1,0,9,0.8888888888888888,0.1111111111111111,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201110,CISARUA,3201110,-6.6700483,106.9268638,2020-01-01,9,0,0,9,1.0,0.0,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201110,CISARUA,3201110,-6.6700483,106.9268638,2021-01-01,9,0,0,9,1.0,0.0,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201120,MEGAMENDUNG,3201120,-6.6749675,106.8833797,2019-01-01,10,2,0,12,0.8333333333333334,0.16666666666666666,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201120,MEGAMENDUNG,3201120,-6.6749675,106.8833797,2020-01-01,10,2,0,12,0.8333333333333334,0.16666666666666666,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201120,MEGAMENDUNG,3201120,-6.6749675,106.8833797,2021-01-01,10,2,0,12,0.8333333333333334,0.16666666666666666,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201130,SUKARAJA,3201130,-6.5410733,106.8234782,2019-01-01,9,4,0,13,0.6923076923076923,0.3076923076923077,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201130,SUKARAJA,3201130,-6.5410733,106.8234782,2020-01-01,9,4,0,13,0.6923076923076923,0.3076923076923077,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201130,SUKARAJA,3201130,-6.5410733,106.8234782,2021-01-01,11,2,0,13,0.8461538461538461,0.15384615384615385,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201140,BABAKAN MADANG,3201140,-6.5711699,106.8655281,2019-01-01,7,2,0,9,0.7777777777777778,0.2222222222222222,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201140,BABAKAN MADANG,3201140,-6.5711699,106.8655281,2020-01-01,8,1,0,9,0.8888888888888888,0.1111111111111111,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201140,BABAKAN MADANG,3201140,-6.5711699,106.8655281,2021-01-01,8,1,0,9,0.8888888888888888,0.1111111111111111,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201150,SUKAMAKMUR,3201150,-6.5659326,106.995082,2019-01-01,8,1,1,10,0.8,0.1,0.1,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201150,SUKAMAKMUR,3201150,-6.5659326,106.995082,2020-01-01,7,2,1,10,0.7,0.2,0.1,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201150,SUKAMAKMUR,3201150,-6.5659326,106.995082,2021-01-01,7,2,1,10,0.7,0.2,0.1,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201160,CARIU,3201160,-6.5036519,107.1330841,2019-01-01,8,2,0,10,0.8,0.2,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201160,CARIU,3201160,-6.5036519,107.1330841,2020-01-01,7,3,0,10,0.7,0.3,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201160,CARIU,3201160,-6.5036519,107.1330841,2021-01-01,9,1,0,10,0.9,0.1,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201161,TANJUNGSARI,3201161,-6.6054126,107.1490067,2019-01-01,5,5,0,10,0.5,0.5,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201161,TANJUNGSARI,3201161,-6.6054126,107.1490067,2020-01-01,5,5,0,10,0.5,0.5,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201161,TANJUNGSARI,3201161,-6.6054126,107.1490067,2021-01-01,6,4,0,10,0.6,0.4,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201170,JONGGOL,3201170,-6.4677967,107.0660713,2019-01-01,4,10,0,14,0.2857142857142857,0.7142857142857143,0.0,0,1,0,RUSAK SEDANG
3201,KABUPATEN BOGOR,3201170,JONGGOL,3201170,-6.4677967,107.0660713,2020-01-01,9,5,0,14,0.6428571428571429,0.35714285714285715,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201170,JONGGOL,3201170,-6.4677967,107.0660713,2021-01-01,9,5,0,14,0.6428571428571429,0.35714285714285715,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201180,CILEUNGSI,3201180,-6.3943398,106.9772549,2019-01-01,12,0,0,12,1.0,0.0,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201180,CILEUNGSI,3201180,-6.3943398,106.9772549,2020-01-01,12,0,0,12,1.0,0.0,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201180,CILEUNGSI,3201180,-6.3943398,106.9772549,2021-01-01,12,0,0,12,1.0,0.0,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201181,KLAPANUNGGAL,3201181,-6.4463707,106.9431323,2019-01-01,7,1,1,9,0.7777777777777778,0.1111111111111111,0.1111111111111111,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201181,KLAPANUNGGAL,3201181,-6.4463707,106.9431323,2020-01-01,6,2,1,9,0.6666666666666666,0.2222222222222222,0.1111111111111111,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201181,KLAPANUNGGAL,3201181,-6.4463707,106.9431323,2021-01-01,7,1,1,9,0.7777777777777778,0.1111111111111111,0.1111111111111111,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190,-6.4237915,106.9405851,2019-01-01,9,1,0,10,0.9,0.1,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190,-6.4237915,106.9405851,2020-01-01,9,1,0,10,0.9,0.1,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,3201190,-6.4237915,106.9405851,2021-01-01,9,1,0,10,0.9,0.1,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200,-6.4869997,106.8790935,2019-01-01,8,3,1,12,0.6666666666666666,0.25,0.08333333333333333,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200,-6.4869997,106.8790935,2020-01-01,11,1,0,12,0.9166666666666666,0.08333333333333333,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201200,CITEUREUP,3201200,-6.4869997,106.8790935,2021-01-01,11,1,0,12,0.9166666666666666,0.08333333333333333,0.0,1,0,0,BAIK
3201,KABUPATEN BOGOR,3201220,BOJONG GEDE,3201220,-6.4840304,106.7997357,2019-01-01,7,1,0,8,0.875,0.125,0.0,1,0,0,BAIK
