id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,latitude,longitude,kerusakan,choropleth_id
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.02,GUNUNG PUTRI,-6.391905025125629,106.93279849246231,ringan,3201190
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.02,GUNUNG PUTRI,-6.391905025125629,106.93279849246231,ringan,3201190
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.02,GUNUNG PUTRI,-6.391905025125629,106.93279849246231,ringan,3201190
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.02,GUNUNG PUTRI,-6.391905025125629,106.93279849246231,ringan,3201190
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.02,GUNUNG PUTRI,-6.391905025125629,106.93279849246231,ringan,3201190
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.02,GUNUNG PUTRI,-6.391905025125629,106.93279849246231,sedang,3201190
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.02,GUNUNG PUTRI,-6.391905025125629,106.93279849246231,ringan,3201190
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.02,GUNUNG PUTRI,-6.391905025125629,106.93279849246231,ringan,3201190
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.02,GUNUNG PUTRI,-6.391905025125629,106.93279849246231,ringan,3201190
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.02,GUNUNG PUTRI,-6.391905025125629,106.93279849246231,ringan,3201190
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.03,CITEUREUP,-6.520768604651163,106.89168837209304,ringan,3201200
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.03,CITEUREUP,-6.520768604651163,106.89168837209304,ringan,3201200
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.03,CITEUREUP,-6.520768604651163,106.89168837209304,ringan,3201200
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.03,CITEUREUP,-6.520768604651163,106.89168837209304,berat,3201200
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.03,CITEUREUP,-6.520768604651163,106.89168837209304,ringan,3201200
16,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.03,CITEUREUP,-6.520768604651163,106.89168837209304,ringan,3201200
17,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.03,CITEUREUP,-6.520768604651163,106.89168837209304,ringan,3201200
18,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.03,CITEUREUP,-6.520768604651163,106.89168837209304,sedang,3201200
19,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.03,CITEUREUP,-6.520768604651163,106.89168837209304,sedang,3201200
20,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.03,CITEUREUP,-6.520768604651163,106.89168837209304,ringan,3201200
21,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.03,CITEUREUP,-6.520768604651163,106.89168837209304,ringan,3201200
22,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.03,CITEUREUP,-6.520768604651163,106.89168837209304,sedang,3201200
23,32,JAWA BARAT,3201,KABUPATEN BOGOR,32.01.04,SUKARAJA,-6.573584070796461,106.84397610619469,ringan,3201130
